date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:16	76/76	---MCZ	200	added ('OK')	text/plain	date:Thu,%2008%20Sep%202022%2010:38:18%20GMT	https://stockholm45.qodeinteractive.com/robots.txt		(from )
16:08:16	86360/86360	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Sep%202022%2010:38:18%20GMT	https://stockholm45.qodeinteractive.com/	E:/Web/stockhomes/stockholm45.qodeinteractive.com/index.html	(from )
16:08:17	10215/10215	---M--	200	added ('OK')	image/png	etag:%2227e7-5b110c200b274%22	https://stockholm45.qodeinteractive.com/wp-content/uploads/2020/10/Favicon.png	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/uploads/2020/10/Favicon.png	(from https://stockholm45.qodeinteractive.com/)
16:08:18	2021/2021	---MC-	200	added ('OK')	application/rss+xml	etag:%22703bfb50880483fe255eafccd01f6c33%22	https://stockholm45.qodeinteractive.com/feed/	E:/Web/stockhomes/stockholm45.qodeinteractive.com/feed/index.html	(from https://stockholm45.qodeinteractive.com/)
16:08:19	121426/121426	---M-Z	200	added ('OK')	text/css	etag:%223e17-5b8c59d16a847%22	https://stockholm45.qodeinteractive.com/wp-content/cache/minify/58f2c.css	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/cache/minify/58f2c.css	(from https://stockholm45.qodeinteractive.com/)
16:08:19	1984/1984	---MC-	200	added ('OK')	application/rss+xml	etag:%22b98e5439e3978c068ae1f2d0f51044bb%22	https://stockholm45.qodeinteractive.com/comments/feed/	E:/Web/stockhomes/stockholm45.qodeinteractive.com/comments/feed/index.html	(from https://stockholm45.qodeinteractive.com/)
16:08:20	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%225e4e4f3b-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=5.4.11	E:/Web/stockhomes/export.qodethemes.com/_toolbar/assets/css/rbt-modulese6b3.css	(from https://stockholm45.qodeinteractive.com/)
16:08:21	58746/58746	---M-Z	200	added ('OK')	text/css	etag:%222f91-5b8c59d1715a6%22	https://stockholm45.qodeinteractive.com/wp-content/cache/minify/edd85.css	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/cache/minify/edd85.css	(from https://stockholm45.qodeinteractive.com/)
16:08:21	1805315/1805315	---M-Z	200	added ('OK')	text/css	etag:%222a808-5c0142cf52c35%22	https://stockholm45.qodeinteractive.com/wp-content/cache/minify/8c9a5.css	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/cache/minify/8c9a5.css	(from https://stockholm45.qodeinteractive.com/)
16:08:22	151066/151066	---M-Z	200	added ('OK')	text/css	etag:%225490-5c01448e3c667%22	https://stockholm45.qodeinteractive.com/wp-content/cache/minify/3ae2c.css	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/cache/minify/3ae2c.css	(from https://stockholm45.qodeinteractive.com/)
16:08:22	548363/548363	---M-Z	200	added ('OK')	application/x-javascript	etag:%2228b3a-5b8c59d233325%22	https://stockholm45.qodeinteractive.com/wp-content/cache/minify/45788.js	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/cache/minify/45788.js	(from https://stockholm45.qodeinteractive.com/)
16:08:23	41102/41102	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Sep%202022%2010:38:25%20GMT	https://stockholm45.qodeinteractive.com/xmlrpc.php?rsd	E:/Web/stockhomes/stockholm45.qodeinteractive.com/xmlrpc0db0.php	(from https://stockholm45.qodeinteractive.com/)
16:08:24	747326/747326	---MCZ	200	added ('OK')	application/json	date:Thu,%2008%20Sep%202022%2010:38:25%20GMT	https://stockholm45.qodeinteractive.com/wp-json/	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-json/index.html	(from https://stockholm45.qodeinteractive.com/)
16:08:24	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22415-4ed4785da9bc0%22	https://stockholm45.qodeinteractive.com/wp-includes/wlwmanifest.xml	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-includes/wlwmanifest.xml	(from https://stockholm45.qodeinteractive.com/)
16:08:25	2263/2263	---MCZ	200	added ('OK')	application/json	date:Thu,%2008%20Sep%202022%2010:38:27%20GMT	https://stockholm45.qodeinteractive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fstockholm45.qodeinteractive.com%2F	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-json/oembed/1.0/embedf510.json	(from https://stockholm45.qodeinteractive.com/)
16:08:26	2633/2633	---MCZ	200	added ('OK')	text/xml	date:Thu,%2008%20Sep%202022%2010:38:28%20GMT	https://stockholm45.qodeinteractive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fstockholm45.qodeinteractive.com%2F&format=xml	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-json/oembed/1.0/embed1631	(from https://stockholm45.qodeinteractive.com/)
16:08:27	3213/3213	---M--	200	added ('OK')	image/png	etag:%22c8d-5a6c432fccfa8%22	https://stockholm45.qodeinteractive.com/wp-content/uploads/2020/05/Logo-dark.png	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/uploads/2020/05/Logo-dark.png	(from https://stockholm45.qodeinteractive.com/)
16:08:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Sep%202022%2010:38:29%20GMT	http://stockholm45.qodeinteractive.com/wp-content/plugins/revslider/public/assets/assets/transparent.png	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/plugins/revslider/public/assets/assets/transparent.c.delayed	(from https://stockholm45.qodeinteractive.com/)
16:08:28	59247/59247	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Sep%202022%2010:38:30%20GMT	https://stockholm45.qodeinteractive.com/shop/	E:/Web/stockhomes/stockholm45.qodeinteractive.com/shop/index.html	(from https://stockholm45.qodeinteractive.com/)
16:08:29	54654/54654	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Sep%202022%2010:38:30%20GMT	https://stockholm45.qodeinteractive.com/product/spinach-pasta/	E:/Web/stockhomes/stockholm45.qodeinteractive.com/product/spinach-pasta/index.html	(from https://stockholm45.qodeinteractive.com/)
16:08:29	122/122	---M--	200	added ('OK')	image/png	etag:%227a-5a6b17bb800ea%22	https://stockholm45.qodeinteractive.com/wp-content/plugins/revslider/public/assets/assets/transparent.png	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/plugins/revslider/public/assets/assets/transparent.png	(from https://stockholm45.qodeinteractive.com/)
16:08:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Sep%202022%2010:38:31%20GMT	http://stockholm45.qodeinteractive.com/wp-content/uploads/2020/06/Rev-img-4.png	E:/Web/stockhomes/stockholm45.qodeinteractive.com/wp-content/uploads/2020/06/Rev-img-4.e.delayed	(from https://stockholm45.qodeinteractive.com/)
